date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:26	266339/266339	---M--	200	added ('OK')	image/jpeg	date:Sun,%2024%20Apr%202022%2014:29:53%20GMT	https://fdclass.com.br/wp-content/uploads/2022/04/D06-LEIGO.jpg	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/uploads/2022/04/D06-LEIGO.jpg	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:27	323855/323855	---M--	200	added ('OK')	image/jpeg	date:Sun,%2024%20Apr%202022%2014:30:02%20GMT	https://fdclass.com.br/wp-content/uploads/2022/04/D08-LEIGO.jpg	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/uploads/2022/04/D08-LEIGO.jpg	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:27	300336/300336	---M--	200	added ('OK')	image/jpeg	date:Sun,%2024%20Apr%202022%2014:29:59%20GMT	https://fdclass.com.br/wp-content/uploads/2022/04/D07-LEIGO.jpg	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/uploads/2022/04/D07-LEIGO.jpg	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:28	251977/251977	---M--	200	added ('OK')	image/jpeg	date:Sun,%2024%20Apr%202022%2014:30:08%20GMT	https://fdclass.com.br/wp-content/uploads/2022/04/D02-LEIGO.jpg	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/uploads/2022/04/D02-LEIGO.jpg	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:28	253219/253219	---M--	200	added ('OK')	image/jpeg	date:Sun,%2024%20Apr%202022%2014:30:05%20GMT	https://fdclass.com.br/wp-content/uploads/2022/04/D01-LEIGO.jpg	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/uploads/2022/04/D01-LEIGO.jpg	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:30	11736/11736	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Apr%202022%2014:19:28%20GMT	http://fdclass.com.br/wp-content/cache/wpfc-minified/7wq2v4px/63ntc.css	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/cache/wpfc-minified/7wq2v4px/63ntc.css	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:30	271227/271227	---M--	200	added ('OK')	image/jpeg	date:Sun,%2024%20Apr%202022%2014:30:11%20GMT	https://fdclass.com.br/wp-content/uploads/2022/04/D03-LEIGO.jpg	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/uploads/2022/04/D03-LEIGO.jpg	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:30	205908/205908	---M--	200	added ('OK')	image/jpeg	date:Sun,%2024%20Apr%202022%2014:30:15%20GMT	https://fdclass.com.br/wp-content/uploads/2022/04/D05-LEIGO.jpg	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/uploads/2022/04/D05-LEIGO.jpg	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:30	306833/306833	---M--	200	added ('OK')	image/jpeg	date:Sun,%2024%20Apr%202022%2014:30:13%20GMT	https://fdclass.com.br/wp-content/uploads/2022/04/D04-LEIGO.jpg	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/uploads/2022/04/D04-LEIGO.jpg	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:33	18468/18468	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Apr%202022%2014:19:28%20GMT	http://fdclass.com.br/wp-content/cache/wpfc-minified/2dg8b3gj/63ntc.css	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/cache/wpfc-minified/2dg8b3gj/63ntc.css	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:33	16852/16852	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Nov%202021%2002:03:30%20GMT	https://fdclass.com.br/wp-content/uploads/2021/10/whatsapp-4-300x113.png	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/uploads/2021/10/whatsapp-4-300x113.png	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:33	125845/125845	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Nov%202021%2002:03:31%20GMT	https://fdclass.com.br/wp-content/uploads/2021/10/Compra-Segura-Personalizado-7-dias-1-3-1024x272.png	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/uploads/2021/10/Compra-Segura-Personalizado-7-dias-1-3-1024x272.png	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:33	3113/3113	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2015%20Feb%202022%2011:23:36%20GMT	https://fdclass.com.br/wp-content/themes/hello-elementor/assets/js/hello-frontend.min.js?ver=1.0.0	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/themes/hello-elementor/assets/js/hello-frontend.min8a54.js	(from https://fdclass.com.br/kitwin10-ebook/)
